2020-01-01, Región: Región Principal, País: China, Cultivo: Arroz, Plaga detectada: Barrenador del tallo, Severidad: Media, Área afectada: 2745ha, Tratamiento aplicado: Químico (Epoxiconazole), Eficacia: 93%, Pérdida estimada: 26%
2020-01-13, Región: Región Principal, País: Francia, Cultivo: Caña de azúcar, Plaga detectada: Chinche marrón, Severidad: Crítica, Área afectada: 3943ha, Tratamiento aplicado: Cultural (Control manual), Eficacia: 97%, Pérdida estimada: 17%
2020-01-15, Región: Cerrado, País: Brasil, Cultivo: Maíz, Plaga detectada: Oruga militar tardía, Severidad: Alta, Área afectada: 10ha, Tratamiento aplicado: Cultural (Fecha de siembra ajustada), Eficacia: 82%, Pérdida estimada: 38%
2020-01-18, Región: Mata Atlántica, País: Brasil, Cultivo: Maíz, Plaga detectada: Barrenador del tallo, Severidad: Crítica, Área afectada: 3064ha, Tratamiento aplicado: Biológico (Trichogramma spp.), Eficacia: 83%, Pérdida estimada: 3%
2020-01-23, Región: Patagonia, País: Argentina, Cultivo: Soja, Plaga detectada: Langosta, Severidad: Media, Área afectada: 995ha, Tratamiento aplicado: Biológico (Trichogramma spp.), Eficacia: 75%, Pérdida estimada: 2%
2020-01-25, Región: Pampas, País: Brasil, Cultivo: Arroz, Enfermedad detectada: Podredumbre, Severidad: Alta, Área afectada: 2222ha, Tratamiento aplicado: Biológico (Nematodos entomopatógenos), Eficacia: 88%, Pérdida estimada: 32%
2020-01-27, Región: Corn Belt, País: Estados Unidos, Cultivo: Arroz, Plaga detectada: Ácaro, Severidad: Baja, Área afectada: 314ha, Tratamiento aplicado: Físico (Barreras físicas), Eficacia: 96%, Pérdida estimada: 31%
2020-02-03, Región: Corn Belt, País: Estados Unidos, Cultivo: Maíz, Plaga detectada: Mosca blanca, Severidad: Alta, Área afectada: 3935ha, Tratamiento aplicado: Químico (Lambda-cihalotrin), Eficacia: 70%, Pérdida estimada: 19%
2020-02-17, Región: Coastal, País: India, Cultivo: Arroz, Enfermedad detectada: Piricularia, Severidad: Crítica, Área afectada: 4588ha, Tratamiento aplicado: Físico (Trampas de feromonas), Eficacia: 92%, Pérdida estimada: 5%
2020-02-22, Región: Región Principal, País: Francia, Cultivo: Soja, Plaga detectada: Langosta, Severidad: Media, Área afectada: 3067ha, Tratamiento aplicado: Cultural (Control manual), Eficacia: 87%, Pérdida estimada: 36%
2020-02-25, Región: Región Principal, País: Francia, Cultivo: Girasol, Plaga detectada: Ácaro, Severidad: Alta, Área afectada: 3839ha, Tratamiento aplicado: Cultural (Fecha de siembra ajustada), Eficacia: 74%, Pérdida estimada: 33%
2020-03-07, Región: Región Principal, País: Alemania, Cultivo: Girasol, Plaga detectada: Mosca blanca, Severidad: Media, Área afectada: 2736ha, Tratamiento aplicado: Cultural (Control manual), Eficacia: 84%, Pérdida estimada: 30%
