id_noticia,Alemania,Argentina,Australia,Brasil,Canadá,España,Estados Unidos,India,Italia,Francia,Kenia,México,Nueva Zelanda,Rusia,China,categoria,contenido,Año,Mes,Día,fuente,impacto_cultivos,severidad,titular,Mes_Num,Fecha_Completa
NEWS6582,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,clima,Eventos climáticos extremos están afectando la producción de café en Kenia. Los agricultores reportan pérdidas del 35% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,septiembre,23,Bloomberg Commodities,Café,media,Sequía afecta proyecciones de cosecha en Kenia,9,2021-09-23
NEWS8516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de maíz en China. Los agricultores reportan pérdidas del 15% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2022,octubre,23,World Grain,Maíz,baja,Heladas tardías dañan frutales en China,10,2022-10-23
NEWS9993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de maíz en India. Los agricultores reportan pérdidas del 40% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,diciembre,22,Meat+Poultry,Maíz,alta,Ola de calor reduce rendimientos de Maíz,12,2021-12-22
NEWS2701,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,clima,Eventos climáticos extremos están afectando la producción de trigo en China. Los agricultores reportan pérdidas del 26% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2022,marzo,9,Farm Journal,trigo,baja,Inundaciones devastan cultivos en la región,3,2022-03-09
NEWS2755,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,comercio,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,marzo,7,AgriCensus,todos,baja,Nueva política agrícola en Alemania busca mejorar sostenibilidad,3,2023-03-07
NEWS2574,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,comercio,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,mayo,30,Bloomberg Commodities,todos,alta,Nueva política agrícola en Alemania busca mejorar sostenibilidad,5,2023-05-30
NEWS5711,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,comercio,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,febrero,13,Farm Journal,todos,media,Nueva política agrícola en Argentina busca mejorar sostenibilidad,2,2021-02-13
NEWS7467,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,comercio,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,agosto,3,Bloomberg Commodities,todos,alta,Nueva política agrícola en Argentina busca mejorar sostenibilidad,8,2022-08-03
NEWS4380,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,comercio,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,agosto,31,Reuters Agricultura,todos,media,Nueva política agrícola en Argentina busca mejorar sostenibilidad,8,2022-08-31
NEWS1320,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,comercio,El gobierno de Australia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,abril,14,Bloomberg Commodities,todos,alta,Nueva política agrícola en Australia busca mejorar sostenibilidad,4,2023-04-14
NEWS7808,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,comercio,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,abril,12,Dairy Reporter,todos,baja,Nueva política agrícola en China busca mejorar sostenibilidad,4,2021-04-12
NEWS4020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,comercio,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,junio,29,Bloomberg Commodities,todos,alta,Nueva política agrícola en China busca mejorar sostenibilidad,6,2022-06-29
NEWS1023,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,comercio,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,abril,25,Meat+Poultry,todos,alta,Nueva política agrícola en Italia busca mejorar sostenibilidad,4,2023-04-25
NEWS5455,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,mercado,El mercado internacional de arroz muestra una tendencia subiendo. Los precios han subiendo un 26% en el último mes. Brasil se posiciona como un actor clave en este mercado.,2023,mayo,11,Bloomberg Commodities,Arroz,media,Demanda china impulsa mercado de arroz,5,2023-05-11
NEWS9989,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,mercado,El mercado internacional de soja muestra una tendencia bajando. Los precios han bajando un 14% en el último mes. España se posiciona como un actor clave en este mercado.,2021,abril,18,World Grain,soja,media,Demanda china impulsa mercado de soja,4,2021-04-18
NEWS3388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mercado,El mercado internacional de trigo muestra una tendencia subiendo. Los precios han subiendo un 19% en el último mes. México se posiciona como un actor clave en este mercado.,2021,junio,17,World Grain,trigo,baja,México aumenta exportaciones de trigo,6,2021-06-17
NEWS4443,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,politica,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,agosto,8,Bloomberg Commodities,todos,alta,Nueva política agrícola en Brasil busca mejorar sostenibilidad,8,2022-08-08
NEWS4478,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,politica,El gobierno de Francia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,diciembre,3,AgriCensus,todos,baja,Nueva política agrícola en Francia busca mejorar sostenibilidad,12,2021-12-03
NEWS9682,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,politica,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,marzo,15,AgriCensus,todos,baja,Nueva política agrícola en Italia busca mejorar sostenibilidad,3,2023-03-15
NEWS6460,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,politica,El gobierno de Rusia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,febrero,15,Reuters Agricultura,todos,media,Nueva política agrícola en Rusia busca mejorar sostenibilidad,2,2022-02-15
NEWS4675,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,sanidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,noviembre,25,Meat+Poultry,todos,alta,Nueva política agrícola en Brasil busca mejorar sostenibilidad,11,2022-11-25
NEWS1658,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,sanidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,julio,26,Dairy Reporter,todos,alta,Nueva política agrícola en Brasil busca mejorar sostenibilidad,7,2022-07-26
NEWS9462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sanidad,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,febrero,9,AgriCensus,todos,alta,Nueva política agrícola en China busca mejorar sostenibilidad,2,2023-02-09
