pais,codigo_iso,region,cultivo,anio,superficie_hectareas,rendimiento_ton_ha,produccion_ton,fertilizantes_kg_ha,agua_riego_m3_ha,tendencia_5_anios
Argentina,ARG,América del Sur,Soja,2011,4703643,2.22,10465461,105,4811,0.000535528810336236
Argentina,ARG,América del Sur,Maíz,2011,3371781,8.45,28485921,164,5557,0.030943045667782665
Argentina,ARG,América del Sur,Cebada,2011,1661577,2.77,4596917,105,6514,-0.03977897234801513
Argentina,ARG,América del Sur,Té,2011,188518,3.07,577886,236,8527,0.003622809145470071
Argentina,ARG,América del Sur,Algodón,2011,1638327,1.18,1929756,276,6925,0.007735214525676201
Argentina,ARG,América del Sur,Girasol,2011,400408,3.59,1436089,268,4814,0.03664836667552697
Argentina,ARG,América del Sur,Café,2011,238479,1.61,384031,103,5374,0.02018203134585514
Argentina,ARG,América del Sur,Trigo,2011,627742,5.25,3294702,91,8573,-0.01205445582423522
Argentina,ARG,América del Sur,Soja,2012,5742860,3.26,18722616,246,1916,-0.027095192803589564
Argentina,ARG,América del Sur,Maíz,2012,5195860,5.4,28032958,195,6155,-0.02873734559458594
Argentina,ARG,América del Sur,Cebada,2012,1878820,5.21,9791625,113,9830,-0.023725839147706474
Argentina,ARG,América del Sur,Té,2012,213792,1.84,393950,176,2489,0.02557821575337378
Argentina,ARG,América del Sur,Algodón,2012,676195,3.14,2125899,66,7304,-0.011838071349346321
Argentina,ARG,América del Sur,Girasol,2012,4717670,2.32,10930665,224,2876,0.018171036902657478
Argentina,ARG,América del Sur,Café,2012,142829,1.79,255495,90,8433,-0.049675468389827074
Argentina,ARG,América del Sur,Trigo,2012,2301854,8.67,19961382,77,5889,0.03416693481724671
Argentina,ARG,América del Sur,Soja,2013,1746490,3.14,5478586,249,9689,0.041849349439570235
Argentina,ARG,América del Sur,Maíz,2013,8547523,4.09,34977816,262,6038,-0.02605476896619412
Argentina,ARG,América del Sur,Cebada,2013,1166539,4.83,5634708,67,9727,0.02658344293069878
Argentina,ARG,América del Sur,Té,2013,239649,2.53,605567,205,7932,0.04643629060074553
Argentina,ARG,América del Sur,Algodón,2013,3134608,1.7,5338042,216,7118,-0.0061899916085495915
Argentina,ARG,América del Sur,Girasol,2013,1043240,1.41,1472007,191,4770,0.008844011441035103
Argentina,ARG,América del Sur,Café,2013,350614,1.76,617863,270,6413,-0.042914265011134656
Argentina,ARG,América del Sur,Trigo,2013,3993322,3.17,12652195,196,8744,-0.02570027576042755
Argentina,ARG,América del Sur,Soja,2014,3515508,2.37,8318994,158,7735,-0.003297533196332504
Argentina,ARG,América del Sur,Maíz,2014,1869306,4.07,7615290,77,5073,-0.0308409927858346
Argentina,ARG,América del Sur,Cebada,2014,307216,3.35,1029879,286,2235,-0.005686925494654306
Argentina,ARG,América del Sur,Té,2014,316633,1.28,406569,53,2528,0.042636698300812764
Argentina,ARG,América del Sur,Algodón,2014,767759,2.44,1876140,281,1960,-0.033536287859847316
Argentina,ARG,América del Sur,Girasol,2014,3031400,2.23,6761835,158,8973,-0.03452031747259359
Argentina,ARG,América del Sur,Café,2014,31012,1.81,56187,64,1821,0.008417759445897122
Argentina,ARG,América del Sur,Trigo,2014,4568180,3.05,13923967,97,2122,0.009503510645002766
Argentina,ARG,América del Sur,Soja,2015,2166107,3.97,8606247,198,1651,0.01193815103321031
Argentina,ARG,América del Sur,Maíz,2015,9940032,5.98,59471302,221,6147,-0.0261314047384154
Argentina,ARG,América del Sur,Cebada,2015,1412147,5.28,7455970,289,2188,-0.04906845431157536
Argentina,ARG,América del Sur,Té,2015,312383,2.27,708453,117,3170,0.04332593779937091
Argentina,ARG,América del Sur,Algodón,2015,1159474,2.0,2321417,230,5956,0.01116777657259501
Argentina,ARG,América del Sur,Girasol,2015,5139424,1.61,8249296,219,2697,0.04389300039271039
Argentina,ARG,América del Sur,Café,2015,57537,2.24,128997,122,4450,0.021761218713879787
Argentina,ARG,América del Sur,Trigo,2015,2126877,5.09,10818005,63,2512,0.01342844473091942
Argentina,ARG,América del Sur,Soja,2016,476888,2.89,1379775,117,3647,0.02412309083479308
Argentina,ARG,América del Sur,Maíz,2016,7612796,6.63,50489823,226,3442,0.004559028920552231
Argentina,ARG,América del Sur,Cebada,2016,1395478,3.72,5186979,143,1653,0.03989246365264747
Argentina,ARG,América del Sur,Té,2016,124017,2.24,277394,273,7658,0.0473837022637289
Argentina,ARG,América del Sur,Algodón,2016,1107254,4.68,5178909,275,7755,-0.04752136381018113
Argentina,ARG,América del Sur,Girasol,2016,3091090,3.11,9604766,238,5065,-0.0233194290405528
Argentina,ARG,América del Sur,Café,2016,64708,1.02,66169,101,8541,-0.015034157555408136
Argentina,ARG,América del Sur,Trigo,2016,2185758,3.44,7525604,121,2137,0.04668891040483612
Argentina,ARG,América del Sur,Soja,2017,5205491,4.16,21656516,134,1452,-0.03846582481485725
Argentina,ARG,América del Sur,Maíz,2017,3769397,7.26,27375849,202,8119,-0.015431288832019975
Argentina,ARG,América del Sur,Cebada,2017,1052089,4.48,4716454,197,4114,-0.024527749386141807
Argentina,ARG,América del Sur,Té,2017,1542,2.42,3729,290,4228,-0.013577852821873584
Argentina,ARG,América del Sur,Algodón,2017,2484154,4.14,10287257,81,5920,0.0007122504035269178
Argentina,ARG,América del Sur,Girasol,2017,3013252,1.88,5664213,157,7211,0.01773179452727329
Argentina,ARG,América del Sur,Café,2017,385154,1.73,668055,127,5700,-0.02898173151173581
Argentina,ARG,América del Sur,Trigo,2017,3112871,4.28,13314441,171,3780,0.01588507449984218
Argentina,ARG,América del Sur,Soja,2018,5362866,3.85,20666579,242,4848,0.017279567055716705
Argentina,ARG,América del Sur,Maíz,2018,3206769,3.78,12117610,206,2193,-0.0044583831619910835
Argentina,ARG,América del Sur,Cebada,2018,1469060,3.42,5030855,112,3417,0.015605801111178402
Argentina,ARG,América del Sur,Té,2018,48076,2.48,119051,228,9486,-0.0035450115425747844
Argentina,ARG,América del Sur,Algodón,2018,547283,2.79,1526116,193,6198,0.0450039608443156
Argentina,ARG,América del Sur,Girasol,2018,5154094,2.69,13875282,90,8777,-0.004993024275309191
Argentina,ARG,América del Sur,Café,2018,507390,1.98,1002924,210,4919,-0.022540255308246174
Argentina,ARG,América del Sur,Trigo,2018,2122111,3.56,7551720,70,3267,-0.034916934198691345
Argentina,ARG,América del Sur,Soja,2019,1321690,3.14,4151744,188,8633,-0.008422576589684407
Argentina,ARG,América del Sur,Maíz,2019,6550902,7.19,47122614,55,7232,-0.0023020267442643086
Argentina,ARG,América del Sur,Cebada,2019,803243,6.66,5350442,157,9818,0.024751566897805083
Argentina,ARG,América del Sur,Té,2019,123988,1.79,221839,149,6507,0.016887362062291716
Argentina,ARG,América del Sur,Algodón,2019,832592,4.71,3917824,186,1441,0.04069288625867683
Argentina,ARG,América del Sur,Girasol,2019,258647,1.8,465199,96,1823,-0.02398436860806953
Argentina,ARG,América del Sur,Café,2019,231679,1.23,284510,242,7906,-0.02477284682176194
Argentina,ARG,América del Sur,Trigo,2019,158063,6.05,956805,107,2124,0.028123304961089488
