id_noticia,Alemania,Argentina,Australia,Brasil,Canadá,España,Estados Unidos,India,Italia,Francia,Kenia,México,Nueva Zelanda,Rusia,China,categoria,contenido,Año,Mes,Día,fuente,impacto_cultivos,severidad,titular
NEWS6582,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,clima,Eventos climáticos extremos están afectando la producción de café en Kenia. Los agricultores reportan pérdidas del 35% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,septiembre,23,Bloomberg Commodities,Café,media,Sequía afecta proyecciones de cosecha en Kenia
NEWS8516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de maíz en China. Los agricultores reportan pérdidas del 15% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2022,octubre,23,World Grain,Maíz,baja,Heladas tardías dañan frutales en China
NEWS9993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de maíz en India. Los agricultores reportan pérdidas del 40% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,diciembre,22,Meat+Poultry,Maíz,alta,Ola de calor reduce rendimientos de Maíz
NEWS2701,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,clima,Eventos climáticos extremos están afectando la producción de trigo en China. Los agricultores reportan pérdidas del 26% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2022,marzo,9,Farm Journal,trigo,baja,Inundaciones devastan cultivos en la región
NEWS2755,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,comercio,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,marzo,7,AgriCensus,todos,baja,Nueva política agrícola en Alemania busca mejorar sostenibilidad
NEWS2574,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,comercio,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,mayo,30,Bloomberg Commodities,todos,alta,Nueva política agrícola en Alemania busca mejorar sostenibilidad
NEWS5711,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,comercio,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,febrero,13,Farm Journal,todos,media,Nueva política agrícola en Argentina busca mejorar sostenibilidad
NEWS7467,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,comercio,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,agosto,3,Bloomberg Commodities,todos,alta,Nueva política agrícola en Argentina busca mejorar sostenibilidad
NEWS4380,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,comercio,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,agosto,31,Reuters Agricultura,todos,media,Nueva política agrícola en Argentina busca mejorar sostenibilidad
NEWS1320,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,comercio,El gobierno de Australia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,abril,14,Bloomberg Commodities,todos,alta,Nueva política agrícola en Australia busca mejorar sostenibilidad
