Año,Mes,Día,Area_afectada,Cultivo,Eficacia,Pais,Perdida_estimada,Plaga_detectada,Region,Severidad,Tratamiento_Aplicado,Mes_Num,Fecha_Completa
2020,enero,1,2745,Arroz,93,China,26,Barrenador del tallo,Región Principal,Media,Químico (Epoxiconazole),1,2020-01-01
2020,enero,13,3943,Caña de azúcar,97,Francia,17,Chinche marrón,Región Principal,Crítica,Cultural (Control manual),1,2020-01-13
2020,enero,15,10,Maíz,82,Brasil,38,Oruga militar tardía,Cerrado,Alta,Cultural (Fecha de siembra ajustada),1,2020-01-15
2020,enero,18,3064,Maíz,83,Brasil,3,Barrenador del tallo,Mata Atlántica,Crítica,Biológico (Trichogramma spp.),1,2020-01-18
2020,enero,23,995,Soja,75,Argentina,2,Langosta,Patagonia,Media,Biológico (Trichogramma spp.),1,2020-01-23
2020,enero,25,2222,Arroz,88,Brasil,32,Podredumbre,Pampas,Alta,Biológico (Nematodos entomopatógenos),1,2020-01-25
2020,enero,27,314,Arroz,96,Estados Unidos,31,Ácaro,Corn Belt,Baja,Físico (Barreras físicas),1,2020-01-27
2020,febrero,3,3935,Maíz,70,Estados Unidos,19,Mosca blanca,Corn Belt,Alta,Químico (Lambda-cihalotrin),2,2020-02-03
2020,febrero,17,4588,Arroz,92,India,5,Piricularia,Coastal,Crítica,Físico (Trampas de feromonas),2,2020-02-17
2020,febrero,22,3067,Soja,87,Francia,36,Langosta,Región Principal,Media,Cultural (Control manual),2,2020-02-22
2020,febrero,25,3839,Girasol,74,Francia,33,Ácaro,Región Principal,Alta,Cultural (Fecha de siembra ajustada),2,2020-02-25
2020,marzo,7,2736,Girasol,84,Alemania,30,Mosca blanca,Región Principal,Media,Cultural (Control manual),3,2020-03-07
2020,marzo,20,4435,Maíz,96,Estados Unidos,15,Chinche marrón,California,Alta,Químico (Imidacloprid),3,2020-03-20
2020,abril,3,4266,Soja,70,Alemania,18,Podredumbre,Región Principal,Baja,Biológico (Nematodos entomopatógenos),4,2020-04-03
2020,abril,18,4502,Arroz,91,Estados Unidos,27,Pulgón,California,Alta,Físico (Control térmico),4,2020-04-18
2020,abril,22,1552,Algodón,95,Francia,8,Langosta,Región Principal,Media,Biológico (Nematodos entomopatógenos),4,2020-04-22
2020,abril,30,1724,Soja,70,Estados Unidos,3,Ácaro,California,Alta,Biológico (Bacillus thuringiensis),4,2020-04-30
2020,mayo,1,2086,Soja,83,China,24,Gusano cogollero,Región Principal,Baja,Físico (Trampas de feromonas),5,2020-05-01
2020,mayo,12,2498,Maíz,88,Alemania,32,Pulgón,Región Principal,Media,Físico (Control térmico),5,2020-05-12
2020,mayo,23,2105,Caña de azúcar,94,Argentina,36,Pulgón,Pampa Húmeda,Baja,Físico (Barreras físicas),5,2020-05-23
2020,junio,5,3122,Algodón,94,Brasil,7,Oídio,Mata Atlántica,Baja,Biológico (Trichogramma spp.),6,2020-06-05
2020,junio,13,3121,Café,89,China,32,Gusano cogollero,Región Principal,Crítica,Cultural (Rotación de cultivos),6,2020-06-13
2020,junio,14,94,Cebada,86,Francia,30,Ácaro,Región Principal,Baja,Químico (Clorantraniliprol),6,2020-06-14
2020,junio,16,2084,Caña de azúcar,86,Estados Unidos,33,Ácaro,California,Baja,Biológico (Nematodos entomopatógenos),6,2020-06-16
2020,junio,19,908,Cebada,76,Australia,32,Pulgón,Wheatbelt,Crítica,Químico (Clorantraniliprol),6,2020-06-19
2020,junio,27,369,Maíz,77,India,23,Roya de la hoja,Coastal,Crítica,Cultural (Rotación de cultivos),6,2020-06-27
2020,julio,11,1357,Arroz,93,Australia,40,Roya amarilla,Tasmania,Baja,Químico (Imidacloprid),7,2020-07-11
2020,julio,21,4312,Caña de azúcar,87,Argentina,8,Ácaro,Noroeste,Baja,Cultural (Control manual),7,2020-07-21
2020,julio,28,543,Maíz,98,Australia,24,Ácaro,Queensland Coast,Baja,Biológico (Trichogramma spp.),7,2020-07-28
2020,agosto,5,207,Café,88,Alemania,13,Roya de la hoja,Región Principal,Baja,Químico (Clorantraniliprol),8,2020-08-05
2020,agosto,16,1529,Caña de azúcar,87,India,4,Langosta,Deccan,Baja,Físico (Trampas de feromonas),8,2020-08-16
2020,agosto,20,3056,Trigo,95,India,2,Ácaro,Deccan,Baja,Biológico (Nematodos entomopatógenos),8,2020-08-20
2020,agosto,22,2006,Té,76,China,32,Chinche marrón,Región Principal,Alta,Físico (Trampas de feromonas),8,2020-08-22
2020,agosto,30,1050,Arroz,85,Australia,34,Gusano cogollero,Murray-Darling Basin,Media,Químico (Clorantraniliprol),8,2020-08-30
2020,septiembre,1,2160,Arroz,94,Estados Unidos,29,Antracnosis,Pacific Northwest,Media,Físico (Trampas de feromonas),9,2020-09-01
2020,septiembre,2,3694,Algodón,85,Francia,34,Pulgón,Región Principal,Crítica,Químico (Imidacloprid),9,2020-09-02
2020,septiembre,17,624,Trigo,70,Alemania,28,Mosca blanca,Región Principal,Crítica,Físico (Control térmico),9,2020-09-17
2020,septiembre,19,3815,Trigo,96,Brasil,36,Ácaro,Cerrado,Alta,Cultural (Fecha de siembra ajustada),9,2020-09-19
2020,septiembre,29,3854,Cebada,92,Francia,33,Ácaro,Región Principal,Media,Cultural (Rotación de cultivos),9,2020-09-29
2020,octubre,5,2574,Cebada,88,Brasil,14,Fusarium,Mata Atlántica,Media,Cultural (Rotación de cultivos),10,2020-10-05
2020,octubre,11,2171,Arroz,91,China,14,Ácaro,Región Principal,Alta,Físico (Control térmico),10,2020-10-11
2020,octubre,24,1684,Cebada,86,Estados Unidos,13,Pulgón,Great Plains,Alta,Físico (Control térmico),10,2020-10-24
2020,octubre,26,4081,Arroz,82,China,32,Pulgón,Región Principal,Media,Cultural (Rotación de cultivos),10,2020-10-26
2020,noviembre,7,4974,Té,73,China,26,Chinche marrón,Región Principal,Alta,Biológico (Trichogramma spp.),11,2020-11-07
2020,noviembre,21,3735,Maíz,88,Alemania,28,Mosca blanca,Región Principal,Crítica,Cultural (Control manual),11,2020-11-21
2020,noviembre,25,3912,Maíz,80,China,9,Langosta,Región Principal,Baja,Físico (Barreras físicas),11,2020-11-25
2020,noviembre,28,585,Soja,87,Estados Unidos,36,Piricularia,California,Baja,Cultural (Rotación de cultivos),11,2020-11-28
2020,diciembre,3,922,Soja,93,Estados Unidos,19,Oruga militar tardía,Pacific Northwest,Baja,Cultural (Control manual),12,2020-12-03
2020,diciembre,8,1946,Arroz,87,Alemania,39,Mosca blanca,Región Principal,Alta,Químico (Clorantraniliprol),12,2020-12-08
2020,diciembre,14,756,Trigo,73,India,8,Oruga militar tardía,Coastal,Media,Cultural (Fecha de siembra ajustada),12,2020-12-14
